H_VAL   H_STEP_SIZE 60 0.1
ROLL KP KI KD 8 0 6
PITCH KP KI KD 8 0 6
YAW KP KI KD 0 0 0
60 100.728 2.38546 181.974
60 100.728 2.38546 181.974
60 100.724 2.59005 181.549
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.4737 182.047
60 100.728 2.4737 182.047
60 100.728 2.4737 182.047
60 100.728 2.4737 182.047
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.728 2.2972 181.901
60 100.888 2.73019 182.102
60 100.888 2.73019 182.102
60 100.889 2.83379 182.336
60 100.889 2.83379 182.336
60 100.889 3.0106 182.483
60 100.889 3.0106 182.483
60 100.889 3.0106 182.483
60 100.889 3.0106 182.483
60 100.889 3.0106 182.483
60 100.889 3.0106 182.483
60 100.889 3.0106 182.483
60 101.012 4.34538 181.945
60 101.012 4.34538 181.945
60 101.012 4.34538 181.945
60 101.19 3.84449 182.559
60 101.035 3.63168 182.989
60 101.035 3.10134 182.552
60 101.03 3.21664 182.053
60 101.017 3.65463 181.523
60 101.017 3.65463 181.523
60 101.153 3.87366 181.253
60 101.153 3.87366 181.253
60 101.153 3.87366 181.253
60 101.153 3.87366 181.973
60 101.718 6.24231 181.973
60 101.444 4.63144 181.414
60 101.444 4.63144 181.414
60 101.025 3.08204 181.496
60 101.025 3.08204 181.496
60 101.315 4.42891 181.846
60 101.315 4.42891 181.846
60 101.735 4.72007 181.473
60 101.719 5.20212 181.424
60 101.719 5.20212 181.424
60 101.719 5.20212 181.424
60 101.259 6.00323 181.209
60 101.259 6.00323 181.209
60 101.259 6.00323 181.209
60 101.27 5.70042 181.559
60 101.837 5.62937 180.726
60 101.837 5.62937 180.726
60 101.837 5.62937 180.726
60 101.982 5.87359 180.616
60 101.707 6.03322 181.506
60 101.433 6.16961 182.078
60 101.433 6.16961 182.078
60 100.979 5.52461 181.429
60 100.979 6.10504 180.716
60 101.072 6.10504 180.716
60 101.296 7.20616 180.27
60 102.085 7.3095 181.188
60 102.085 7.3095 181.188
60 101.989 5.46736 180.735
60 101.989 5.46736 180.735
60 101.989 5.46736 180.735
60 101.989 5.46736 180.855
60 101.712 5.23683 180.855
60 101.745 4.80257 181.387
60 102.031 5.74039 181.686
60 102.124 7.12838 181.776
60 101.973 6.12298 180.671
60 101.676 5.05051 179.817
60 101.676 5.05051 179.817
60 101.676 5.05051 179.817
60 101.676 5.05051 179.817
60 101.808 5.82906 180.299
60 101.808 5.82906 180.299
60 101.808 5.82906 180.299
60 102.576 6.52026 181.249
60 102.576 6.52026 181.249
60 102.576 6.52026 181.249
60 101.9 7.22842 180.394
60 101.786 5.86817 179.889
60 101.815 4.94283 179.577
60 101.815 4.94283 179.577
60 102.548 6.29335 180.781
60 102.568 6.34574 181.263
60 102.568 6.34574 181.263
60 102.041 4.46347 181.246
60 101.713 4.46097 180.524
60 101.713 4.46097 180.524
60 102.469 9.46622 179.792
60 102.735 9.15687 179.231
60 102.735 9.15687 178.741
60 102.999 6.89773 178.735
60 103.076 5.42056 178.734
60 102.893 6.62001 179.258
60 102.852 7.98726 179.761
60 102.585 8.03023 180.104
60 102.585 8.03023 180.104
60 102.334 6.22864 179.414
60 102.302 5.89311 178.556
60 102.357 6.72509 177.894
60 102.357 6.72509 177.894
60 102.702 7.8436 177.744
60 102.65 7.17498 178.392
60 102.704 7.08631 179.053
60 102.704 7.08631 179.053
60 102.604 6.80605 179.419
60 102.439 6.42151 178.977
60 102.439 6.42151 178.977
60 102.688 7.51213 179.249
60 102.688 7.51213 179.249
60 102.92 6.58508 179.668
60 102.92 6.58508 179.668
60 102.92 6.58508 179.668
60 102.914 6.38888 179.365
60 102.698 6.80194 178.678
60 102.63 6.96179 177.928
60 102.63 6.96179 177.928
60 102.63 6.96179 179.482
60 103.235 7.07646 180.33
60 103.433 7.11441 181.374
60 103.312 6.99277 181.723
60 103.312 6.99277 181.723
60 102.84 5.75557 180.335
60 102.742 6.42833 178.964
60 102.936 7.51926 178.501
60 103.124 8.44658 178.053
60 103.212 8.39792 179.035
60 103.212 8.39792 179.035
60 102.897 7.73151 178.233
60 102.897 7.73151 178.233
60 102.83 7.9961 177.715
60 102.791 7.94184 177.233
60 103.07 7.58471 178.246
60 103.123 7.49792 179.062
60 103.123 7.49792 179.062
60 103.141 7.71246 179.525
60 103.059 8.02838 178.756
60 103.059 8.02838 177.569
60 102.992 7.83132 177.568
60 102.955 7.50806 177.026
60 103.101 7.32211 176.873
60 103.347 7.3751 177.922
60 103.347 7.3751 177.922
60 103.34 7.82115 178.277
60 103.175 8.43146 178.624
60 103.175 8.43146 178.624
60 103.089 9.03435 178.076
60 103.089 9.03435 178.076
60 103.144 8.02061 177.859
60 103.144 8.02061 177.859
60 103.518 7.42588 178.548
60 103.745 7.10625 179.153
60 103.745 7.10625 179.153
60 103.752 7.3938 179.525
60 103.443 8.667 178.652
60 103.345 9.07138 177.8
60 103.345 9.07138 177.8
60 103.389 8.03911 177.425
60 103.389 8.03911 177.425
60 103.634 7.91683 178.485
60 103.782 8.91364 179.101
60 103.52 8.78204 179.46
60 103.593 7.91471 179.799
60 103.686 7.54702 178.774
60 103.796 7.75142 178.339
60 103.796 7.75142 178.339
60 104.017 9.6242 177.599
60 104.017 9.6242 177.599
60 104.017 9.6242 177.599
60 104.017 9.6242 177.599
60 103.618 6.42969 177.028
60 103.7 6.65183 178.068
60 103.777 8.1791 178.531
60 103.893 9.22559 179.05
60 103.893 9.22559 179.05
60 103.742 7.76341 177.922
60 103.554 7.51511 177.15
60 103.554 7.51511 177.15
60 103.081 8.56887 177.714
60 103.081 8.56887 177.714
60 103.247 7.27766 178.588
60 103.514 6.04884 179.211
60 103.897 5.01425 180.132
60 104.08 4.76656 181.537
60 104.276 4.65368 183.179
60 104.286 4.23993 184.455
60 103.989 3.32268 185.065
60 103.639 1.05973 184.768
60 103.639 1.05973 184.768
60 103.639 1.05973 184.768
60 103.85 359.693 185.583
60 103.852 0.437923 186.313
60 103.696 3.37279 184.25
60 103.727 6.86218 181.303
60 103.712 9.88287 177.83
60 103.813 12.0526 174.527
60 104.101 12.2383 172.742
60 104.101 12.2383 172.742
60 104.87 8.45676 175.052
60 104.973 6.77167 177.966
60 105.028 6.82972 180.747
60 104.478 6.94912 181.901
60 103.772 6.71887 179.437
60 103.41 6.87792 176.504
60 103.52 8.27984 174.373
60 103.767 10.4962 173.75
60 104.554 12.5995 175.038
60 104.554 12.5995 175.038
60 104.904 11.8446 177.063
60 105.008 9.51613 178.756
60 104.765 7.37681 179.302
60 104.765 7.37681 179.302
60 104.088 7.20056 177.895
60 103.875 7.98037 176.331
60 104.191 8.82074 175.799
60 104.515 9.13336 176.311
60 104.787 9.39911 177.809
60 104.721 9.88763 179.062
60 104.659 9.56621 179.841
60 104.659 9.56621 179.841
60 104.446 7.32838 178.997
60 104.286 6.01712 177.699
60 104.171 6.35352 176.36
60 104.256 8.07341 175.649
60 104.256 8.07341 175.649
60 104.738 11.4581 176.482
60 104.919 11.9542 177.292
60 104.717 9.85352 177.586
60 104.717 9.85352 177.586
60 104.339 6.94649 177.253
60 104.32 6.63583 176.721
60 104.464 7.09856 177.222
60 104.665 7.4621 178.069
60 104.665 7.4621 178.069
60 104.628 8.87789 179.026
60 104.642 9.58632 177.962
60 104.678 9.52321 176.897
60 104.61 8.97126 175.747
