H_VAL   H_STEP_SIZE 5 0
ROLL KP KI KD 5 0 0
PITCH KP KI KD 5 0 0
YAW KP KI KD 0 0 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.195 2.83647 182.127 -0.0393581 -0.100589 0
5 164.158 2.14503 181.224 0.0209808 -0.0217441 0
5 164.158 2.14503 181.224 0.0209808 -0.0217441 0
5 164.158 2.14503 181.224 0.0209808 -0.0217441 0
5 164.178 3.07704 181.236 -0.0603521 -0.0228143 0
5 164.178 3.07704 181.236 -0.0603521 -0.0228143 0
5 164.16 2.37196 181.256 0.00117779 -0.0245048 0
5 164.16 2.37196 181.256 0.00117779 -0.0245048 0
5 164.159 2.01572 181.322 0.0322652 -0.0302662 0
5 164.159 2.01572 181.322 0.0322652 -0.0302662 0
