H_VAL   H_STEP_SIZE 50 0.1
ROLL KP KI KD 15 0 0
PITCH KP KI KD 15 0 0
YAW KP KI KD 0 0 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.6259 3.33768 180.64 -0.249292 0.0875486 0
50 1.62543 2.65183 180.764 -0.0697374 0.0550561 0
50 1.62543 2.65183 180.764 -0.0697374 0.0550561 0
50 1.62543 2.65183 180.764 -0.0697374 0.0550561 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.63032 2.31263 181.113 0.0190651 -0.0361262 0
50 1.51177 2.42332 180.885 -0.00991344 0.0236129 0
50 1.28707 2.42424 181.118 -0.0101531 -0.0375965 0
50 1.28707 2.42424 181.118 -0.0101531 -0.0375965 0
50 0.483426 2.41671 181.135 -0.00818253 -0.0420074 0
50 0.483426 2.41671 181.135 -0.00818253 -0.0420074 0
50 359.792 2.41011 181.035 -0.00645518 -0.0158127 0
50 359.101 2.40454 180.935 -0.00499606 0.0103812 0
50 359.101 2.40454 180.935 -0.00499606 0.0103812 0
50 358.41 2.4 180.835 -0.00380874 0.0365743 0
50 357.843 2.38865 181.191 -0.000836849 -0.0565004 0
50 357.843 2.38865 181.191 -0.000836849 -0.0565004 0
50 357.04 2.49667 181.096 -0.0291145 -0.0317154 0
50 357.04 2.49667 181.096 -0.0291145 -0.0317154 0
50 356.236 2.49116 180.999 -0.0276732 -0.00636119 0
50 355.779 2.48611 181.009 -0.02635 -0.00900161 0
50 355.779 2.48611 181.009 -0.02635 -0.00900161 0
50 355.309 2.48831 181.018 -0.0269258 -0.0114019 0
50 355.309 2.48831 181.018 -0.0269258 -0.0114019 0
50 354.849 2.48809 180.914 -0.0268686 0.0159019 0
50 354.392 2.48299 180.924 -0.0255346 0.0132616 0
50 354.392 2.48299 180.924 -0.0255346 0.0132616 0
50 353.939 2.47168 181.049 -0.0225735 -0.0193232 0
50 353.595 2.47373 180.942 -0.0231099 0.00864099 0
50 353.595 2.47373 180.942 -0.0231099 0.00864099 0
50 353.12 2.47559 180.951 -0.0235963 0.00621065 0
50 352.667 2.46256 181.075 -0.0201845 -0.0263445 0
50 352.211 2.46409 180.971 -0.0205851 0.000929916 0
50 352.211 2.46409 180.971 -0.0205851 0.000929916 0
50 351.871 2.45962 180.979 -0.0194156 -0.00105036 0
50 351.508 2.57687 180.994 -0.0501108 -0.00504096 0
50 351.508 2.57687 180.994 -0.0501108 -0.00504096 0
50 351.168 2.57211 181.002 -0.0488663 -0.00711129 0
50 351.168 2.57211 181.002 -0.0488663 -0.00711129 0
50 350.829 2.56728 181.01 -0.0476003 -0.00918162 0
50 350.829 2.56728 181.01 -0.0476003 -0.00918162 0
50 350.603 2.564 181.015 -0.046742 -0.0105618 0
50 350.603 2.564 181.015 -0.046742 -0.0105618 0
50 350.265 2.55903 181.023 -0.0454402 -0.0126321 0
50 350.265 2.55903 181.023 -0.0454402 -0.0126321 0
50 349.898 2.56152 181.03 -0.0460947 -0.0144925 0
50 349.898 2.56152 181.03 -0.0460947 -0.0144925 0
50 349.568 2.52504 181.38 -0.0365424 -0.106133 0
50 349.568 2.52504 181.38 -0.0365424 -0.106133 0
50 349.568 2.52504 181.38 -0.0365424 -0.106133 0
50 348.999 2.54756 181.051 -0.0424397 -0.0200134 0
50 348.999 2.54756 181.051 -0.0424397 -0.0200134 0
50 348.638 2.51557 181.4 -0.0340641 -0.111354 0
50 348.508 2.59379 180.605 -0.0545418 0.0967291 0
50 348.508 2.59379 180.605 -0.0545418 0.0967291 0
50 348.188 2.51873 181.297 -0.0348902 -0.0842869 0
50 347.952 2.57472 180.732 -0.0495493 0.0634568 0
50 347.705 2.64417 181.205 -0.0677311 -0.0601912 0
50 347.705 2.64417 181.205 -0.0677311 -0.0601912 0
50 347.252 2.54743 180.975 -0.0424039 -0.000150232 0
50 347.252 2.54743 180.975 -0.0424039 -0.000150232 0
50 347.032 2.53082 181.094 -0.0380552 -0.0313254 0
50 347.032 2.53082 181.094 -0.0380552 -0.0313254 0
50 347.032 2.53082 181.094 -0.0380552 -0.0313254 0
50 346.81 2.65379 180.999 -0.0702488 -0.00636117 0
50 346.81 2.65379 180.999 -0.0702488 -0.00636117 0
50 346.81 2.65379 180.999 -0.0702488 -0.00636117 0
50 346.81 2.65379 180.999 -0.0702488 -0.00636117 0
50 346.81 2.65379 180.999 -0.0702488 -0.00636117 0
50 346.81 2.65379 180.999 -0.0702488 -0.00636117 0
50 347.143 2.65947 180.991 -0.0717366 -0.00420084 0
50 347.476 2.66508 180.983 -0.0732064 -0.00204052 0
50 347.476 2.66508 180.983 -0.0732064 -0.00204052 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.811 2.6706 180.974 -0.0746512 0.000119777 0
50 347.365 2.66323 180.985 -0.0727201 -0.00276061 0
50 347.365 2.66323 180.985 -0.0727201 -0.00276061 0
50 347.031 2.65758 180.994 -0.071243 -0.00492096 0
50 347.031 2.65758 181.118 -0.071243 -0.00492096 0
50 346.551 2.64432 181.118 -0.0677705 -0.0373865 0
50 346.551 2.64432 181.118 -0.0677705 -0.0373865 0
50 346.551 2.64432 181.118 -0.0677705 -0.0373865 0
50 345.995 2.64795 181.018 -0.0687218 -0.0112219 0
50 345.877 2.68824 180.679 -0.0792682 0.0773479 0
50 345.877 2.68824 180.679 -0.0792682 0.0773479 0
50 345.622 2.64973 181.025 -0.0691867 -0.0132023 0
50 345.622 2.64973 181.025 -0.0691867 -0.0132023 0
50 345.178 2.65638 180.923 -0.0709283 0.0136516 0
50 344.697 2.64103 181.047 -0.0669086 -0.0187831 0
50 344.697 2.64103 181.047 -0.0669086 -0.0187831 0
50 344.368 2.63469 181.055 -0.0652492 -0.0209435 0
50 344.368 2.63469 181.055 -0.0652492 -0.0209435 0
50 344.368 2.63469 181.055 -0.0652492 -0.0209435 0
50 343.995 2.74963 181.078 -0.09534 -0.0270946 0
50 343.995 2.74963 181.078 -0.09534 -0.0270946 0
50 343.668 2.74292 181.087 -0.0935841 -0.029345 0
50 343.668 2.74292 181.087 -0.0935841 -0.029345 0
50 343.668 2.74292 181.087 -0.0935841 -0.029345 0
50 342.969 2.72023 181.217 -0.0876439 -0.0633119 0
50 342.969 2.72023 181.217 -0.0876439 -0.0633119 0
50 342.969 2.72023 181.217 -0.0876439 -0.0633119 0
50 342.481 2.73585 181.114 -0.0917315 -0.0364863 0
50 342.481 2.73585 181.114 -0.0917315 -0.0364863 0
50 342.157 2.72873 181.123 -0.0898683 -0.0387367 0
50 342.157 2.72873 181.123 -0.0898683 -0.0387367 0
50 342.157 2.72873 181.123 -0.0898683 -0.0387367 0
