H_VAL   H_STEP_SIZE 10 0.1
ROLL KP KI KD 0.1 0 0
PITCH KP KI KD 0.1 0 0
YAW KP KI KD 0 0 0
10 11.6286 1.21253 180.568 0.0872665 0 0
10 11.6286 1.21253 180.568 0.0872665 0 0
10 11.6286 1.21253 180.568 0.0872665 0 0
10 11.7473 1.18056 181.376 0.0872665 0 0
10 11.7462 0.793981 182.106 0.0872665 0 0
10 11.7462 0.793981 182.106 0.0872665 0 0
10 11.6267 0.381396 182.609 0.0872665 0 0
10 11.6267 0.381396 182.609 0.0872665 0 0
10 11.4049 0.514052 181.675 0.0872665 0 0
10 11.6301 0.904562 180.944 0.0872665 0 0
10 11.6301 0.904562 180.944 0.0872665 0 0
10 11.7406 1.32694 180.555 0.0872665 0 0
10 11.7406 1.32694 180.555 0.0872665 0 0
10 11.6362 1.39643 181.24 0.0872665 0 0
10 11.5235 0.893087 181.982 0.0872665 0 0
10 11.5235 0.893087 181.982 0.0872665 0 0
10 11.5172 0.493248 182.598 0.0872665 0 0
10 11.5121 0.241541 182.393 0.0872665 0 0
10 11.5121 0.241541 182.393 0.0872665 0 0
10 11.6305 0.631381 181.662 0.0872665 0 0
10 11.6331 1.25897 181.023 0.0872665 0 0
10 11.52 1.57818 180.762 0.0872665 0 0
10 11.52 1.57818 180.762 0.0872665 0 0
10 11.5255 1.40711 181.355 0.0872665 0 0
10 11.638 1.02067 182.084 0.0872665 0 0
10 11.638 1.02067 182.084 0.0872665 0 0
10 11.6317 0.609989 182.586 0.0872665 0 0
10 11.6317 0.609989 182.586 0.0872665 0 0
10 11.6303 0.563544 182.13 0.0872665 0 0
10 11.6332 0.951007 181.4 0.0872665 0 0
10 11.633 1.47585 180.886 0.0872665 0 0
10 11.633 1.47585 180.886 0.0872665 0 0
10 11.6322 1.69268 180.749 0.0872665 0 0
10 11.6322 1.69268 180.749 0.0872665 0 0
10 11.6362 1.39643 181.24 0.0872665 0 0
10 11.6364 0.997452 181.856 0.0872665 0 0
10 11.631 0.586767 182.358 0.0872665 0 0
10 11.631 0.586767 182.358 0.0872665 0 0
10 11.631 0.586767 182.358 0.0872665 0 0
10 11.5206 0.755745 181.765 0.0872665 0 0
10 11.5222 1.26983 181.138 0.0872665 0 0
10 11.5222 1.26983 181.138 0.0872665 0 0
10 11.6334 1.59007 180.875 0.0872665 0 0
10 11.6334 1.59007 180.875 0.0872665 0 0
10 11.6387 1.41965 181.468 0.0872665 0 0
10 11.5235 0.893087 181.982 0.0872665 0 0
10 11.5235 0.893087 181.982 0.0872665 0 0
10 11.5212 0.698932 182.347 0.0872665 0 0
10 11.5212 0.698932 182.347 0.0872665 0 0
10 11.5221 0.870083 181.754 0.0872665 0 0
10 11.5222 1.26983 181.138 0.0872665 0 0
10 11.5222 1.26983 181.138 0.0872665 0 0
10 11.5214 1.58968 180.876 0.0872665 0 0
10 11.5214 1.58968 180.876 0.0872665 0 0
10 11.5255 1.40711 181.355 0.0872665 0 0
10 11.5252 1.00741 181.97 0.0872665 0 0
10 11.5252 1.00741 181.97 0.0872665 0 0
10 11.5217 0.710434 182.461 0.0872665 0 0
10 11.5217 0.710434 182.461 0.0872665 0 0
10 11.5217 0.77875 181.993 0.0872665 0 0
10 11.5235 1.17852 181.378 0.0872665 0 0
10 11.5235 1.17852 181.378 0.0872665 0 0
